"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"POWERGRID","Power Grid Corporation of India Limited","General Updates","Power Grid Corporation of India Limited has informed the Exchange about POWERGRID has successfully commissioned the Project.","05-Jun-2025 17:49:05","2025-06-05 17:49:05","05-Jun-2025 17:49:06","00:00:01","https://nsearchives.nseindia.com/corporate/POWERGRID1_05062025174850_BSENSEReg30DOCOdt05062025signed.pdf","821 KB"
"TIIL","Technocraft Industries (India) Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Technocraft Industries (India) Limited has informed the Exchange about Transcript of Conference Call held for discussion of financial performance of Fourth Quarter ended March 31, 2025","05-Jun-2025 17:48:35","2025-06-05 17:48:35","05-Jun-2025 17:48:36","00:00:01","https://nsearchives.nseindia.com/corporate/TIIL_05062025174815_Transcripts.pdf","1.21 MB"
"STEELCAS","Steelcast Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Steelcast Limited has informed the Exchange about Transcript","05-Jun-2025 17:47:27","2025-06-05 17:47:27","05-Jun-2025 17:47:28","00:00:01","https://nsearchives.nseindia.com/corporate/STEELCAS_05062025174657_MergedTranscriptQ4FY25SteelcastLtdMay292025.pdf","641 KB"
"FIEMIND","Fiem Industries Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Fiem Industries Limited has informed the Exchange about Transcript","05-Jun-2025 17:46:41","2025-06-05 17:46:41","05-Jun-2025 17:46:42","00:00:01","https://nsearchives.nseindia.com/corporate/FIEMIND_05062025174627_FIEMINDTranscriptQ4FY25NSEBSE.pdf","751 KB"
"KTKBANK","The Karnataka Bank Limited","Alteration Of Capital and Fund Raising-XBRL","The Karnataka Bank Limited has informed the Exchange regarding Allotment of Securities","05-Jun-2025 17:46:01","2025-06-05 17:46:01","05-Jun-2025 17:46:02","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1463421_05062025054600_WEB.xml","4 KB"
"MPHASIS","MphasiS Limited","Press Release","MphasiS Limited has informed the Exchange regarding a press release dated Jun 05, 2025, titled ""Mphasis launches Centre of Excellence (CoE) for Financial Services in Buenos Aires, Argentina"".","05-Jun-2025 17:45:39","2025-06-05 17:45:39","05-Jun-2025 17:45:40","00:00:01","https://nsearchives.nseindia.com/corporate/MPHASIS_05062025174250_PressReleaseJune2025.pdf","1.18 MB"
"HONAUT","Honeywell Automation India Limited","Notice Of Shareholders Meetings-XBRL","HONEYWELL AUTOMATION INDIA LIMITED has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 27-Jun-2025","05-Jun-2025 17:44:31","2025-06-05 17:44:31","05-Jun-2025 17:44:32","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1463420_05062025054431_WEB.xml","24 KB"
"KTKBANK","The Karnataka Bank Limited","Updates","The Karnataka Bank Limited has informed the Exchange regarding 'Allotment of 14,471 Equity Shares upon exercise of vested stock options under the KBL Employees Stock Options Scheme, 2018'.","05-Jun-2025 17:43:32","2025-06-05 17:43:32","05-Jun-2025 17:43:33","00:00:01","https://nsearchives.nseindia.com/corporate/KTKBANK_05062025174041_STOESX_ESOP_SIGNED.pdf","221 KB"
"SHYAMMETL","Shyam Metalics and Energy Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Shyam Metalics And Energy Limited has informed the Exchange about Schedule of meet","05-Jun-2025 17:42:59","2025-06-05 17:42:59","05-Jun-2025 17:43:00","00:00:01","https://nsearchives.nseindia.com/corporate/SHYAMMETL_05062025174232_IntimationofInvestorsMeet05062025.pdf","914 KB"
"MAHESHWARI","Maheshwari Logistics Limited","Outcome of Board Meeting-XBRL","MAHESHWARI LOGISTICS LIMITED has informed the Exchange regarding Outcome of Board Meeting held on 30-May-2025 for Dividend","05-Jun-2025 17:42:38","2025-06-05 17:42:38","05-Jun-2025 17:42:39","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/OUTCOME_1463419_05062025054237_WEB.xml","5 KB"
