TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DATE
2025-04-11,2025-04-11,CM,BSE,STK,500547,INE029A01011,BPCL,A,,,,,BHARAT PETROLEUM CORPORATION L,295.05,295.5,286.35,293.05,293.05,287.85,,293.2,,,214183,62511014.0,3558,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500550,INE003A01024,SIEMENS,A,,,,,SIEMENS LTD.,2827.95,2827.95,2708.95,2728.4,2730.0,2716.05,,2727.85,,,71600,196590478.0,7332,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500570,INE155A01022,TATAMOTORS,A,,,,,TATA MOTORS LTD.,610.65,612.65,591.1,595.05,595.05,583.0,,595.05,,,2223520,1337200554.0,50262,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500575,INE226A01021,VOLTAS,A,,,,,VOLTAS LTD.,1300.0,1302.0,1277.25,1285.2,1285.2,1278.1,,1284.9,,,50817,65633407.0,3793,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500620,INE017A01032,GESHIP,A,,,,,GREAT EASTERN SHIPPING CO.LTD.,898.95,898.95,861.0,863.5,863.45,860.5,,862.95,,,22880,19922234.0,1587,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500645,INE501A01019,DEEPAKFERT,A,,,,,DEEPAK FERTILISERS & PETROCHEM,1189.0,1214.95,1158.3,1205.35,1205.35,1158.3,,1206.35,,,42579,51125398.0,2298,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500650,INE369A01029,EXCELINDUS,B,,,,,EXCEL INDUSTRIES LTD.,1037.55,1064.1,1026.4,1038.0,1038.0,1016.85,,1044.6,,,278,289804.0,66,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500655,INE291A01017,GRWRHITECH,A,,,,,GARWARE HI-TECH FILMS LIMITED,2654.2,2654.2,2654.2,2654.2,2654.2,2412.95,,2650.65,,,6867,18226391.0,246,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500660,INE159A01016,GLAXO,A,,,,,GLAXOSMITHKLINE PHARMACEUTICAL,2773.95,2773.95,2723.3,2747.05,2743.0,2675.05,,2751.0,,,3900,10718107.0,529,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500670,INE113A01013,GNFC,A,,,,,GUJARAT NARMADA VALLEY FERTILI,483.0,488.0,477.75,480.5,480.5,476.6,,480.8,,,16283,7854771.0,962,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500672,INE234A01025,NOVARTIND,B,,,,,NOVARTIS INDIA LTD.,788.0,796.95,783.0,786.15,786.15,781.95,,786.15,,,5130,4034974.0,226,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500674,INE058A01010,SANOFI,A,,,,,SANOFI INDIA LTD,6096.0,6242.45,6087.6,6185.3,6193.3,6049.6,,6198.25,,,1115,6869841.0,462,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500680,INE182A01018,PFIZER,A,,,,,PFIZER LTD.,4165.45,4165.45,4007.15,4079.85,4064.6,4034.55,,4080.25,,,1579,6419080.0,251,F1,1,,,,,,2025-04-11
